Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,66.879997,68.08000200000001,65.720001,67.989998,63.088195999999996,8586900
2016-01-05,68.379997,68.440002,66.41999799999999,67.279999,62.429379000000004,6139100
2016-01-06,65.980003,66.849998,65.620003,66.220001,61.44580500000001,6639300
2016-01-07,65.08000200000001,65.519997,63.66,63.939999,59.330181,8601500
2016-01-08,64.33000200000001,64.529999,62.93,63.290001000000004,58.727039000000005,8278500
2016-01-11,63.669998,63.700001,60.849998,61.470001,57.038261,9655100
2016-01-12,62.439999,62.5,60.389998999999996,61.599998,57.158885999999995,8593100
2016-01-13,62.07,62.759997999999996,60.389998999999996,60.889998999999996,56.500071999999996,7237300
2016-01-14,61.240002000000004,62.970001,60.380001,62.27,57.780586,9241800
2016-01-15,59.52,60.09,58.75,59.869999,56.249165000000005,12674500
2016-01-19,60.259997999999996,60.540001000000004,58.48,59.029999,55.459965000000004,8501100
2016-01-20,58.080002,59.380001,56.360001000000004,58.810001,55.253277000000004,10857700
2016-01-21,59.0,60.419998,58.25,59.689999,56.080048,8798300
2016-01-22,61.23,62.560001,60.599998,60.98,57.292033999999994,7815600
2016-01-25,58.959998999999996,59.349998,57.759997999999996,57.91,54.407695999999994,10971500
2016-01-26,58.400002,59.66,58.09,59.16,55.582104,8135100
2016-01-27,58.43,59.889998999999996,57.459998999999996,58.32,54.7929,11013800
2016-01-28,62.009997999999996,62.450001,58.57,61.080002,57.38599,13567000
2016-01-29,61.689999,62.290001000000004,60.759997999999996,62.240002000000004,58.47583,8221000
2016-02-01,61.970001,63.080002,61.380001,62.700001,58.908012,5955700
2016-02-02,61.279999,61.549999,60.48,60.669998,57.000774,6282300
2016-02-03,61.470001,63.599998,59.799999,63.27,59.443539,8332100
2016-02-04,63.599998,66.989998,63.599998,65.959999,61.970852,12537500
2016-02-05,65.66999799999999,66.760002,65.18,66.120003,62.121173999999996,7463700
2016-02-08,65.41999799999999,65.639999,63.66,64.58000200000001,60.674313,6315500
2016-02-09,63.900002,64.410004,63.119999,63.93,60.063621999999995,5541700
2016-02-10,64.269997,64.379997,62.0,62.139998999999996,58.381873999999996,5955400
2016-02-11,60.91,62.310001,60.509997999999996,61.41,57.696022,7055000
2016-02-12,61.990002000000004,63.470001,61.82,63.150002,59.330794999999995,4297400
2016-02-16,64.160004,65.550003,63.509997999999996,65.209999,61.266212,4819400
2016-02-17,66.0,67.790001,65.720001,67.260002,63.192218999999994,7373800
2016-02-18,67.150002,67.599998,65.139999,66.120003,62.121173999999996,6175500
2016-02-19,64.91999799999999,65.519997,64.08000200000001,65.41999799999999,61.463505000000005,4994900
2016-02-22,65.41999799999999,67.519997,65.41999799999999,67.309998,63.239197,5787700
2016-02-23,67.110001,67.239998,65.699997,65.779999,61.801735,5599400
2016-02-24,64.699997,65.970001,63.07,65.879997,61.895687,6439200
2016-02-25,65.889999,66.470001,64.839996,66.470001,62.450005000000004,4273800
2016-02-26,67.389999,68.0,66.449997,66.870003,62.825813000000004,4149800
2016-02-29,67.139999,68.58000200000001,66.489998,67.699997,63.60560600000001,8643200
2016-03-01,68.440002,69.489998,67.339996,69.089996,64.911552,4451600
