Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,104.58000200000001,105.849998,103.870003,105.25,104.41008000000001,9258400
2017-12-04,106.5,112.66999799999999,106.5,110.220001,109.340424,17824000
2017-12-05,109.529999,110.040001,106.519997,107.220001,106.36436499999999,13055600
2017-12-06,107.16999799999999,107.989998,105.360001,105.459999,104.618401,8121700
2017-12-07,105.739998,106.0,104.489998,105.260002,104.420006,9948600
2017-12-08,104.910004,104.980003,104.08000200000001,104.230003,104.230003,6536600
2017-12-11,104.870003,106.839996,104.769997,106.83000200000001,106.83000200000001,7434000
2017-12-12,107.139999,107.83000200000001,106.589996,107.43,107.43,8147000
2017-12-13,108.150002,108.190002,106.75,107.610001,107.610001,10368300
2017-12-14,107.290001,111.540001,107.199997,110.57,110.57,27571300
2017-12-15,111.980003,112.0,110.599998,111.269997,111.269997,19978600
