Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,41.639998999999996,41.6399989999999,41.040001000000004,41.150002,41.150002,2099900
2017-11-02,41.150002,41.439999,40.869999,40.959998999999996,40.959998999999996,1520600
2017-11-03,40.900002,41.43,40.880001,40.970001,40.970001,1961700
2017-11-06,40.759997999999996,41.919998,40.75,41.419998,41.419998,3558700
2017-11-07,38.0,38.709998999999996,33.630001,35.16,35.16,9989900
2017-11-08,34.810001,35.400002,33.98,35.330002,35.330002,5032800
2017-11-09,35.099998,35.509997999999996,33.68,33.900002,33.900002,2500600
2017-11-10,35.360001000000004,35.540001000000004,32.41,33.459998999999996,33.459998999999996,4172900
2017-11-13,33.049999,33.700001,32.57,33.32,33.32,1938500
2017-11-14,33.139998999999996,33.360001000000004,32.380001,32.560001,32.560001,2680900
2017-11-15,32.299999,33.950001,31.969998999999998,33.41,33.41,3275400
2017-11-16,33.52,34.450001,33.52,34.330002,34.330002,2505300
2017-11-17,34.25,35.049999,34.049999,35.009997999999996,35.009997999999996,3012100
2017-11-20,34.860001000000004,35.959998999999996,34.450001,35.82,35.82,1619800
2017-11-21,35.830002,36.189999,35.599998,35.860001000000004,35.860001000000004,1001100
2017-11-22,35.740002000000004,36.0,34.68,34.77,34.77,1102200
2017-11-24,35.0,35.450001,34.619999,34.810001,34.810001,854900
2017-11-27,34.880001,35.669998,34.880001,35.5,35.5,1381100
2017-11-28,35.650002,36.369999,35.349998,36.34,36.34,1354600
2017-11-29,36.150002,37.869999,36.150002,37.84,37.84,1767000
2017-11-30,37.950001,38.43,37.110001000000004,38.099998,38.099998,1501600
2017-12-01,38.07,40.049999,37.959998999999996,40.029999,40.029999,3049700
