Date,Open,High,Low,Close,Adj Close,Volume
2015-03-02,104.349998,105.980003,104.349998,105.889999,101.481125,5635500
2015-03-03,105.779999,106.639999,105.209999,106.349998,101.921982,4671900
2015-03-04,105.860001,106.0,104.779999,105.57,101.174454,4972300
2015-03-05,105.540001,105.809998,104.870003,105.029999,100.656937,3954700
2015-03-06,104.66999799999999,105.0,103.489998,103.82,99.497314,5704200
2015-03-09,103.940002,105.41999799999999,103.82,105.260002,100.87737299999999,4868900
2015-03-10,104.269997,104.349998,103.089996,103.089996,98.79770699999999,6462100
2015-03-11,103.510002,104.0,102.870003,102.889999,98.606041,4831900
2015-03-12,103.849998,107.33000200000001,103.809998,107.16999799999999,102.707825,10730400
2015-03-13,107.279999,107.279999,105.519997,106.440002,102.00823199999999,8024200
2015-03-16,106.839996,107.730003,106.050003,107.370003,102.899513,6407300
2015-03-17,107.0,107.209999,106.150002,106.959999,102.50657700000001,4489400
2015-03-18,106.900002,108.41999799999999,105.730003,107.970001,103.474533,5517500
2015-03-19,107.839996,108.480003,107.139999,107.370003,102.899513,4885600
2015-03-20,107.83000200000001,108.940002,107.5,108.43,103.915367,8710100
2015-03-23,108.599998,108.849998,108.040001,108.220001,103.714119,5176100
2015-03-24,107.720001,108.050003,107.08000200000001,107.110001,102.650337,4493500
2015-03-25,107.449997,107.459999,105.0,105.0,100.628189,6964700
2015-03-26,104.470001,105.82,104.099998,105.239998,100.85818499999999,5915800
2015-03-27,105.199997,106.449997,104.879997,105.480003,101.08820300000001,5320600
2015-03-30,106.059998,106.949997,106.050003,106.120003,101.701553,3831900
2015-03-31,105.599998,106.32,104.889999,104.889999,100.522766,5701600
2015-04-01,105.43,106.0,104.25,105.440002,101.04986600000001,6106000
2015-04-02,105.489998,106.239998,104.860001,106.0,101.58654,3651600
2015-04-06,105.309998,106.57,105.040001,105.629997,101.231949,4153500
2015-04-07,105.800003,106.410004,105.400002,105.43,101.040283,4694600
2015-04-08,105.230003,106.690002,105.160004,106.360001,101.931557,4277400
2015-04-09,106.510002,107.0,105.879997,106.769997,102.324478,3924400
2015-04-10,106.730003,107.099998,106.410004,106.949997,102.496994,3251500
2015-04-13,107.07,107.900002,106.470001,106.510002,102.07531,4201500
2015-04-14,106.410004,107.300003,106.110001,106.660004,102.219078,5387700
2015-04-15,106.91999799999999,107.43,106.860001,106.980003,102.525749,4307300
2015-04-16,107.150002,108.300003,106.900002,108.099998,103.599106,6379100
2015-04-17,107.800003,107.800003,106.040001,106.690002,102.24781800000001,9663500
2015-04-20,107.83000200000001,108.5,107.32,108.220001,103.714119,8085800
