1000,36,50,23,22,12,32,25,6,45,30,8,26,47,26,34,42,26,30,38,13,49,13,22
36,1000,48,15,24,7,17,24,28,39,42,3,16,50,18,14,26,4,31,48,45,23,21,15
50,48,1000,12,49,50,20,45,49,15,37,28,15,33,8,6,31,35,4,4,45,39,23,31
23,15,12,1000,17,16,24,34,42,12,11,43,27,48,27,35,16,46,7,10,4,20,41,35
22,24,49,17,1000,30,37,17,13,13,23,26,28,17,49,10,46,16,22,32,25,17,48,30
12,7,50,16,30,1000,29,19,6,46,36,30,28,43,42,40,15,45,37,3,6,21,17,46
32,17,20,24,37,29,1000,46,49,24,41,5,22,31,45,2,44,18,1,49,27,45,20,28
25,24,45,34,17,19,46,1000,39,7,43,39,8,28,50,49,36,40,31,16,7,17,35,40
6,28,49,42,13,6,49,39,1000,42,33,43,23,26,48,28,47,33,45,40,5,45,10,17
45,39,15,12,13,46,24,7,42,1000,18,48,23,5,26,10,14,4,39,14,43,6,20,8
30,42,37,11,23,36,41,43,33,18,1000,12,43,5,37,3,30,13,17,17,1,39,6,8
8,3,28,43,26,30,5,39,43,48,12,1000,20,41,11,13,25,8,40,50,31,21,22,8
26,16,15,27,28,28,22,8,23,23,43,20,1000,20,22,49,14,46,23,13,43,41,9,17
47,50,33,48,17,43,31,28,26,5,5,41,20,1000,37,23,47,26,10,46,16,33,19,38
26,18,8,27,49,42,45,50,48,26,37,11,22,37,1000,14,42,39,6,17,25,39,6,48
34,14,6,35,10,40,2,49,28,10,3,13,49,23,14,1000,14,50,34,49,28,40,49,48
42,26,31,16,46,15,44,36,47,14,30,25,14,47,42,14,1000,46,14,37,33,10,10,21
26,4,35,46,16,45,18,40,33,4,13,8,46,26,39,50,46,1000,1,3,6,4,40,37
30,31,4,7,22,37,1,31,45,39,17,40,23,10,6,34,14,1,1000,18,49,10,6,17
38,48,4,10,32,3,49,16,40,14,17,50,13,46,17,49,37,3,18,1000,1,46,43,12
13,45,45,4,25,6,27,7,5,43,1,31,43,16,25,28,33,6,49,1,1000,28,45,13
49,23,39,20,17,21,45,17,45,6,39,21,41,33,39,40,10,4,10,46,28,1000,7,1
13,21,23,41,48,17,20,35,10,20,6,22,9,19,6,49,10,40,6,43,45,7,1000,10
22,15,31,35,30,46,28,40,17,8,8,8,17,38,48,48,21,37,17,12,13,1,10,1000
