1000,8,12,17,17,39,2,6,6,43,36,1,33,30,20,49,13,41,25,45
8,1000,15,12,4,8,36,28,18,46,1,1,42,36,18,49,50,20,4,34
12,15,1000,9,43,14,44,50,49,35,33,41,20,31,39,3,37,26,46,7
17,12,9,1000,50,36,31,38,12,28,36,21,27,50,13,35,37,31,11,49
17,4,43,50,1000,45,8,45,30,42,40,11,15,7,50,24,2,40,36,9
39,8,14,36,45,1000,23,25,40,24,49,12,12,47,40,49,13,18,46,26
2,36,44,31,8,23,1000,11,24,6,26,41,21,11,49,18,26,28,24,50
6,28,50,38,45,25,11,1000,9,9,11,34,26,21,34,35,25,45,26,49
6,18,49,12,30,40,24,9,1000,27,1,44,43,50,50,26,31,44,3,28
43,46,35,28,42,24,6,9,27,1000,21,41,21,4,32,10,44,27,37,45
36,1,33,36,40,49,26,11,1,21,1000,29,35,22,25,3,25,14,19,45
1,1,41,21,11,12,41,34,44,41,29,1000,4,8,3,14,22,35,46,45
33,42,20,27,15,12,21,26,43,21,35,4,1000,25,22,36,13,49,5,36
30,36,31,50,7,47,11,21,50,4,22,8,25,1000,8,26,40,5,23,23
20,18,39,13,50,40,49,34,50,32,25,3,22,8,1000,11,48,17,38,19
49,49,3,35,24,49,18,35,26,10,3,14,36,26,11,1000,48,46,47,35
13,50,37,37,2,13,26,25,31,44,25,22,13,40,48,48,1000,45,29,17
41,20,26,31,40,18,28,45,44,27,14,35,49,5,17,46,45,1000,12,37
25,4,46,11,36,46,24,26,3,37,19,46,5,23,38,47,29,12,1000,23
45,34,7,49,9,26,50,49,28,45,45,45,36,23,19,35,17,37,23,1000
