10000,24,27,28,2,39,19,17,12,16,35,47,27,41,30,41,19,10
24,10000,39,22,44,3,46,48,27,16,1,37,3,9,50,33,34,42
27,39,10000,31,15,16,38,19,19,41,13,21,9,12,12,2,30,47
28,22,31,10000,13,25,44,5,8,25,47,4,26,20,1,10,18,15
2,44,15,13,10000,6,12,31,17,27,19,35,19,48,10,50,37,18
39,3,16,25,6,10000,49,40,21,9,2,27,2,10,3,9,3,9
19,46,38,44,12,49,10000,23,36,31,3,27,42,40,30,36,33,29
17,48,19,5,31,40,23,10000,14,9,28,35,27,37,1,12,45,41
12,27,19,8,17,21,36,14,10000,3,36,23,4,49,43,30,8,22
16,16,41,25,27,9,31,9,3,10000,12,5,28,15,17,8,49,42
35,1,13,47,19,2,3,28,36,12,10000,33,45,46,36,32,36,44
47,37,21,4,35,27,27,35,23,5,33,10000,32,17,7,45,31,31
27,3,9,26,19,2,42,27,4,28,45,32,10000,44,36,3,46,27
41,9,12,20,48,10,40,37,49,15,46,17,44,10000,42,50,1,3
30,50,12,1,10,3,30,1,43,17,36,7,36,42,10000,11,50,9
41,33,2,10,50,9,36,12,30,8,32,45,3,50,11,10000,22,23
19,34,30,18,37,3,33,45,8,49,36,31,46,1,50,22,10000,14
10,42,47,15,18,9,29,41,22,42,44,31,27,3,9,23,14,10000
